id,timestamp,sepal_length,sepal_width,petal_length,petal_width,target
158,2025-11-19 04:10:28.101974,6.8,3.2,5.9,2.3,2
157,2025-11-19 04:10:27.099644,4.8,3.0,1.4,0.3,0
156,2025-11-19 04:10:26.097305,5.0,3.6,1.4,0.2,0
155,2025-11-19 04:10:25.094956,6.9,3.1,4.9,1.5,1
154,2025-11-19 04:10:24.092384,6.3,3.3,4.7,1.6,1
153,2025-11-19 04:10:23.090233,4.9,2.5,4.5,1.7,2
152,2025-11-19 04:10:22.087980,6.7,3.1,4.7,1.5,1
151,2025-11-19 04:10:21.085794,7.7,3.8,6.7,2.2,2
150,2025-11-19 04:10:20.083455,5.7,2.8,4.5,1.3,1
149,2025-11-19 04:10:19.080800,5.4,3.7,1.5,0.2,0
148,2025-11-19 04:10:18.077864,5.5,2.4,3.7,1.0,1
147,2025-11-19 04:10:17.075601,6.5,2.8,4.6,1.5,1
146,2025-11-19 04:10:16.073404,4.7,3.2,1.6,0.2,0
145,2025-11-19 04:10:15.071107,5.1,3.4,1.5,0.2,0
144,2025-11-19 04:10:14.068977,6.6,2.9,4.6,1.3,1
143,2025-11-19 04:10:13.066888,6.5,3.0,5.8,2.2,2
142,2025-11-19 04:10:12.064590,6.4,2.7,5.3,1.9,2
141,2025-11-19 04:10:11.062420,6.1,2.8,4.0,1.3,1
140,2025-11-19 04:10:10.060096,6.8,2.8,4.8,1.4,1
139,2025-11-19 04:10:09.057732,6.9,3.1,5.4,2.1,2
138,2025-11-19 04:10:08.055500,6.3,2.5,5.0,1.9,2
137,2025-11-19 04:10:07.053349,7.6,3.0,6.6,2.1,2
136,2025-11-19 04:10:06.051007,7.1,3.0,5.9,2.1,2
135,2025-11-19 04:10:05.047951,5.4,3.9,1.3,0.4,0
134,2025-11-19 04:10:04.045740,6.4,3.2,4.5,1.5,1
133,2025-11-19 04:10:03.043377,6.8,3.0,5.5,2.1,2
132,2025-11-19 04:10:02.040958,6.2,2.8,4.8,1.8,2
131,2025-11-19 04:10:01.038708,5.5,2.5,4.0,1.3,1
130,2025-11-19 04:10:00.036522,4.9,3.6,1.4,0.1,0
129,2025-11-19 04:09:59.033927,5.2,4.1,1.5,0.1,0
128,2025-11-19 04:09:58.031419,4.7,3.2,1.6,0.2,0
127,2025-11-19 04:09:57.029181,6.2,2.9,4.3,1.3,1
126,2025-11-19 04:09:56.026732,6.7,3.3,5.7,2.5,2
125,2025-11-19 04:09:55.024493,5.7,4.4,1.5,0.4,0
124,2025-11-19 04:09:54.022219,5.7,3.0,4.2,1.2,1
123,2025-11-19 04:09:53.018482,6.3,2.3,4.4,1.3,1
122,2025-11-19 04:09:52.015893,5.6,2.7,4.2,1.3,1
121,2025-11-19 04:09:51.013758,7.1,3.0,5.9,2.1,2
120,2025-11-19 04:09:50.011421,5.4,3.9,1.3,0.4,0
119,2025-11-19 04:09:49.009228,7.7,3.0,6.1,2.3,2
118,2025-11-19 04:09:48.007070,5.7,2.8,4.1,1.3,1
117,2025-11-19 04:09:47.004802,6.0,2.2,4.0,1.0,1
116,2025-11-19 04:09:46.002215,6.5,3.2,5.1,2.0,2
115,2025-11-19 04:09:44.999986,5.6,2.7,4.2,1.3,1
114,2025-11-19 04:09:43.997765,5.2,2.7,3.9,1.4,1
113,2025-11-19 04:09:42.996049,7.2,3.2,6.0,1.8,2
112,2025-11-19 04:09:41.993690,6.3,3.3,4.7,1.6,1
111,2025-11-19 04:09:40.991445,6.8,2.8,4.8,1.4,1
110,2025-11-19 04:09:39.982648,4.4,2.9,1.4,0.2,0
109,2025-11-19 04:09:38.979903,6.5,2.8,4.6,1.5,1
108,2025-11-19 04:09:37.977243,5.1,3.7,1.5,0.4,0
107,2025-11-19 04:09:36.974950,5.0,3.4,1.6,0.4,0
106,2025-11-19 04:09:35.972679,6.5,2.8,4.6,1.5,1
105,2025-11-19 04:09:34.970230,5.7,2.5,5.0,2.0,2
104,2025-11-19 04:09:33.968031,6.7,3.0,5.2,2.3,2
103,2025-11-19 04:09:32.965840,6.3,2.3,4.4,1.3,1
102,2025-11-19 04:09:31.962166,5.7,2.8,4.5,1.3,1
101,2025-11-19 04:09:30.959520,5.4,3.9,1.7,0.4,0
100,2025-11-19 04:09:29.957125,5.9,3.0,5.1,1.8,2
99,2025-11-19 04:09:28.954814,6.7,3.0,5.2,2.3,2
98,2025-11-19 04:09:27.952436,5.0,2.0,3.5,1.0,1
97,2025-11-19 04:09:26.950079,6.4,2.7,5.3,1.9,2
96,2025-11-19 04:09:25.947781,6.9,3.2,5.7,2.3,2
95,2025-11-19 04:09:24.945450,6.5,3.0,5.5,1.8,2
94,2025-11-19 04:09:23.943228,5.1,3.5,1.4,0.2,0
93,2025-11-19 04:09:22.941144,5.7,4.4,1.5,0.4,0
92,2025-11-19 04:09:21.938951,6.3,2.8,5.1,1.5,2
91,2025-11-19 04:09:20.936625,6.1,3.0,4.9,1.8,2
90,2025-11-19 04:09:19.934280,5.4,3.9,1.3,0.4,0
89,2025-11-19 04:09:18.932046,6.4,2.8,5.6,2.2,2
88,2025-11-19 04:09:17.929741,4.9,3.1,1.5,0.2,0
87,2025-11-19 04:09:16.927398,5.0,3.4,1.6,0.4,0
86,2025-11-19 04:09:15.925164,5.2,2.7,3.9,1.4,1
85,2025-11-19 04:09:14.922389,5.0,3.3,1.4,0.2,0
84,2025-11-19 04:09:13.920131,5.1,3.5,1.4,0.3,0
83,2025-11-19 04:09:12.918417,6.3,3.3,6.0,2.5,2
82,2025-11-19 04:09:11.916303,5.5,4.2,1.4,0.2,0
81,2025-11-19 04:09:10.914184,5.0,2.0,3.5,1.0,1
80,2025-11-19 04:09:09.912044,6.4,3.1,5.5,1.8,2
79,2025-11-19 04:09:08.909479,5.4,3.0,4.5,1.5,1
78,2025-11-19 04:09:07.905875,6.5,3.0,5.2,2.0,2
77,2025-11-19 04:09:06.903420,4.8,3.4,1.9,0.2,0
76,2025-11-19 04:09:05.901236,5.4,3.9,1.7,0.4,0
75,2025-11-19 04:09:04.899052,5.1,3.5,1.4,0.2,0
74,2025-11-19 04:09:03.893518,7.6,3.0,6.6,2.1,2
73,2025-11-19 04:09:02.891343,6.0,2.7,5.1,1.6,1
72,2025-11-19 04:09:01.889065,6.8,3.2,5.9,2.3,2
71,2025-11-19 04:09:00.886760,6.5,3.2,5.1,2.0,2
70,2025-11-19 04:08:59.884605,6.3,3.4,5.6,2.4,2
69,2025-11-19 04:08:58.882495,5.7,2.9,4.2,1.3,1
68,2025-11-19 04:08:57.880246,5.1,3.5,1.4,0.2,0
67,2025-11-19 04:08:56.877492,5.2,2.7,3.9,1.4,1
66,2025-11-19 04:08:55.874021,5.5,2.5,4.0,1.3,1
65,2025-11-19 04:08:54.871815,5.8,2.7,5.1,1.9,2
64,2025-11-19 04:08:53.869569,6.5,3.2,5.1,2.0,2
63,2025-11-19 04:08:52.865548,5.5,2.6,4.4,1.2,1
62,2025-11-19 04:08:51.863222,6.1,2.9,4.7,1.4,1
61,2025-11-19 04:08:50.857642,6.7,2.5,5.8,1.8,2
60,2025-11-19 04:08:49.852098,5.7,2.6,3.5,1.0,1
59,2025-11-19 04:08:48.846891,6.3,3.4,5.6,2.4,2
